correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_obs,mean_estimate,coverage_obs,coverage_obs_dist,coverage_true
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,PPW,0.36475507645728505,0.8907,0.05929999999999991,0.7782
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.0015725024903585163,0.9018,0.04819999999999991,0.9023
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-4.185089911592228e-4,0.9024,0.047599999999999976,0.9022
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.005192928899366586,0.8926,0.05740000000000001,0.893
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.022783653494322195,0.8996,0.0504,0.9013
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,4,0,0.4,0.3022048754100082,no_weight,0.3022048754100082,0.8618,0.08819999999999995,0.8271
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,4,4,0.4,0.29509744910188507,PPW,0.2767774009402851,0.8675,0.0824999999999999,0.7288
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13950910194130628,0.8766,0.07339999999999991,0.8699
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.1033224168163526,0.9012,0.048799999999999955,0.904
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.08828098380253721,0.8971,0.05289999999999995,0.8974
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.08059998080633543,0.8882,0.061799999999999966,0.8906
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,PPW,0.37103733131303585,0.8791,0.07089999999999996,0.7141
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,PPW,0.3766597695442303,0.8834,0.06659999999999999,0.7559
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,PPW,0.376349353550195,0.88,0.06999999999999995,0.7645
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,0,0,0,-0.00245721773328369,PPW,-9.364969413789668e-4,0.9202,0.029799999999999938,0.9201
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,0,4,0,-7.43056826832932e-4,PPW,2.11642700104421e-4,0.9267,0.023299999999999987,0.927
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.009150540508992486,0.9091,0.040899999999999936,0.9094
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,4,4,0,0.03646026958428305,PPW,0.006911378393963824,0.9047,0.04530000000000001,0.9152
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,4,0,0.4,0.3022048754100082,no_weight,0.3022048754100082,0.8618,0.08819999999999995,0.8271
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,4,4,0.4,0.29509744910188507,OPW,0.271703691979816,0.8571,0.09289999999999998,0.7269
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,0,0,0.1,0.10855073650778706,OPW,0.11985664371649493,0.8714,0.0786,0.868
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,0,4,0.1,0.08938054766039766,OPW,0.07639247267108566,0.8905,0.0595,0.8872
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.12896375346307404,0.8842,0.06579999999999997,0.8933
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.11938241598396426,0.9057,0.044300000000000006,0.9026
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.863,0.08699999999999997,0.8679
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,4,0,0.5,0.40144653552974946,OPW,0.3680780488528693,0.8734,0.0766,0.7225
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,4,4,0.5,0.38942295188380144,PPW,0.3259179906140743,0.8747,0.07529999999999992,0.5202
Pearson,L_Y_dich_3_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.008702757589287298,0.9121,0.037899999999999934,0.9122
