correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_true,mean_estimate,coverage_true,coverage_true_dist,coverage_obs
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,4,4,0,0.03646026958428305,PPW,-0.01653079354294933,0.9005,0.04949999999999999,0.8779
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.14433986426403017,0.8778,0.07219999999999993,0.8853
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.0851398138269182,0.9089,0.041099999999999914,0.9107
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10006520058181324,0.8982,0.05179999999999996,0.8962
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.0719173028791488,0.8906,0.05940000000000001,0.8889
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.0015725024903585163,0.9023,0.047699999999999965,0.9018
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-4.185089911592228e-4,0.9022,0.047799999999999954,0.9024
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.005192928899366586,0.893,0.05699999999999994,0.8926
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.022783653494322195,0.9013,0.048699999999999966,0.8996
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13950910194130628,0.8699,0.08009999999999995,0.8766
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.1033224168163526,0.904,0.04599999999999993,0.9012
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.08828098380253721,0.8974,0.05259999999999998,0.8971
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.08059998080633543,0.8906,0.05940000000000001,0.8882
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,0,0,0,-0.00245721773328369,PPW,-9.364969413789668e-4,0.9201,0.029899999999999927,0.9202
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,0,4,0,-7.43056826832932e-4,PPW,2.11642700104421e-4,0.927,0.02299999999999991,0.9267
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.009150540508992486,0.9094,0.04059999999999997,0.9091
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,4,4,0,0.03646026958428305,PPW,0.006911378393963824,0.9152,0.03479999999999994,0.9047
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,0,0,0.1,0.10855073650778706,OPW,0.11985664371649493,0.868,0.08199999999999996,0.8714
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.13258212863732055,0.902,0.04799999999999993,0.8888
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.12896375346307404,0.8933,0.05669999999999997,0.8842
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.11938241598396426,0.9026,0.0474,0.9057
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_3_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.008702757589287298,0.9122,0.037799999999999945,0.9121
